,Class,Min Frequency (Hz),Max Frequency (Hz),Duration (s)
0,Amazona_ vittata,375.0,3562.5,0.858666666666
1,Antrostomus_ noctitherus,562.5,2812.5,1.5253333333310002
2,Buteo_ jamaicensis,1406.25,3937.5,2.527999999999999
3,Buteo_ platypterus,3656.25,4968.75,1.5679999999999992
4,Chordeiles_ gundlachii,1500.0,6187.5,0.9653333333359996
5,Coccyzus_ vieilloti,281.25,2812.5,1.5519999999999998
6,Coereba_ flaveola,5812.5,11156.25,1.4613333333355
7,Contopus_ latirostris_ blancoi,1968.75,3562.5,1.0719999999999998
8,Crotophaga_ ani,562.5,4500.0,1.3226666666724998
9,Eleutherodactylus_ antillensis,3093.75,4593.75,1.2853333333274997
10,Eleutherodactylus_ brittoni,3843.75,6000.0,0.746666666668
11,Eleutherodactylus_ cochranae,3656.25,5062.5,0.9333333333345002
12,Eleutherodactylus_ cooki,937.5,2531.25,1.786666666662
13,Eleutherodactylus_ coqui,1031.25,2812.5,0.7413333333365
14,Eleutherodactylus_ gryllus,5906.25,8250.0,0.7946666666626375
15,Eleutherodactylus_ hedricki,2343.75,4218.75,1.856
16,Eleutherodactylus_ portoricensis,562.5,3281.25,3.136
17,Eleutherodactylus_ richmondi,2531.25,5531.25,0.5866666666706521
18,Eleutherodactylus_ unicolor,3187.5,5062.5,0.6933333333299998
19,Eleutherodactylus_ wightmanae,3281.25,4125.0,1.0933333333415
20,Geotrygon_ montana,93.75,1312.5,4.869333333335714
21,Icterus_ icterus,656.25,3656.25,5.802666666673197
22,Leptodactylus_ albilabris,1781.25,3375.0,2.88
23,Lithobates_ catesbeianus,93.75,2812.5,1.2160000000000002
24,Margarops_ fuscatus,1031.25,6000.0,3.8560000000000003
25,Megascops_ nudipes,93.75,1312.5,3.1520000000000006
26,Melanerpes_ portoricensis,562.5,3375.0,2.112
27,Melopyrrha_ portoricensis,843.75,12562.5,2.8906666666604997
28,Molothrus_ bonariensis,1500.0,7031.25,2.8693333333329996
29,Myiarchus_ antillarum,2625.0,4875.0,1.4720000000000002
30,Nesospingus_ speculiferus,8906.25,13593.75,1.7280000000000002
31,Osteopilus_ septentrionalis,468.75,3093.75,1.4613333333349998
32,Patagioenas_ leucocephala,93.75,1218.75,1.7493333333355003
33,Patagioenas_ squamosa,93.75,1218.75,2.6506666666720005
34,Pluvialis_ squatarola,1406.25,3656.25,0.9866666666658828
35,Rhinella_ marina,93.75,1218.75,1.6053333333385
36,Setophaga_ adelaidae,2156.25,9468.75,3.402666666667
37,Setophaga_ angelae,3468.75,11812.5,3.6853333333319993
38,Setophaga_ discolor,3937.5,7781.25,1.392980842914943
39,Setophaga_ petechia,2531.25,6468.75,2.0159999999999996
40,Spindalis_ portoricensis,6187.5,12375.0,7.130666666664499
41,Todus_ mexicanus,2343.75,5718.75,3.44
42,Turdus_ plumbeus,1687.5,11718.75,2.4106666666650005
43,Vireo_ altiloquus,1875.0,5718.75,1.1360000000000001
44,Vireo_ latimeri,1406.25,6000.0,1.296
